Firm,Year,COVID,ROA,ROE,Growth,Revenue,Total Assets,PAT,ATR,Equity,Nợ phải trả,LEV,Employees,Multi,Firm Type,Spec
AGG,2014,,,,,,,,,,,,,1,0,0
AGG,2015,0,,,,,,,,,,,,1,0,0
AGG,2016,0,0.0007,0.0381,,602637,2267344,1547,0.2658,40646,2226698,54.783,,1,0,0
AGG,2017,0,0.0239,0.3384,0.6414,989145,2451628,58562,0.4035,173046,2262888,13.077,126,1,0,0
AGG,2018,0,0.1277,0.3662,0.1378,1125412,2291060,292641,0.4912,799106,1451712,1.817,174,1,0,0
AGG,2019,0,0.0605,0.2246,-0.6582,384627,5398913,326497,0.0712,1453450,3945463,2.715,184,1,0,0
AGG,2020,1,0.0425,0.1787,3.5593,1753643,9753392,414713,0.1798,2320738,7432654,3.203,201,1,0,0
AGG,2021,1,0.0334,0.1567,0.0312,1808365,12564828,419375,0.1439,2675589,9889239,3.696,205,1,0,0
AGG,2022,0,0.0017,0.0070,2.4222,6188635,11098528,18966,0.5576,2725619,8372910,3.072,145,1,0,0
AGG,2023,0,0.0189,0.0610,-0.3713,3891047,9293398,175358,0.4187,2876121,6417277,2.231,99,1,0,0
AGG,2024,0,0.0423,0.0948,-0.5083,1913398,7035484,297501,0.2720,3137089,3898395,1.243,101,1,0,0
AGG,2025,0,0.0692,0.1079,-0.5667,829089,5476945,379195,0.1514,3514998,1961947,0.558,95,1,0,0
D2D,2015,0,0.0495,0.1428,-0.0628,277039,1105783,54699,0.2505,382949,722833,1.888,85,0,1,1
D2D,2014,0,,,,295588,,,,,,,88,0,1,1
D2D,2016,0,0.0404,0.1389,0.3943,412151,1375058,55614,0.2997,400377,974681,2.434,86,0,1,1
D2D,2017,0,0.0605,0.1774,-0.4142,241430,1244421,753401,0.1940,424682,819739,1.930,87,0,1,1
D2D,2018,0,0.0593,0.1989,0.1702,282522,1590548,943611,0.1776,474344,1116203,2.353,89,0,1,1
D2D,2019,0,0.1788,0.4707,1.7034,763774,2098644,375192,0.3639,797131,1301514,1.633,84,0,1,1
D2D,2020,1,0.1338,0.2766,-0.5322,357303,2003613,268127,0.1783,969394,1034219,1.067,85,0,1,1
D2D,2021,1,0.1359,0.2213,0.3219,472312,1786012,242715,0.2645,1096996,689017,0.628,86,0,1,1
D2D,2022,0,0.0103,0.0171,-0.7227,130949,1663640,17182,0.0787,1004832,658808,0.656,84,0,1,1
D2D,2023,0,0.0165,0.0275,0.4879,194833,1558765,25753,0.1250,936634,622131,0.664,78,0,1,1
D2D,2024,0,0.0566,0.1181,0.7775,346321,1558765,88209,0.2222,746799,769467,1.030,78,0,1,1
D2D,2025,0,0.1711,0.3331,1.2550,780962,1401891,239897,0.5571,720183,681707,0.947,78,0,1,1
BCM,2014,,,,,5832349,,,,,,,,0,1,1
BCM,2015,0,0.0094,0.0429,0.2581,7337544,51471671,484962,0.1426,11315498,40156173,3.549,2301,0,1,1
BCM,2016,0,0.0137,0.0603,-0.0052,7299657,57246332,786907,0.1275,13049644,44196688,3.387,,0,1,1
BCM,2017,0,0.0160,0.0687,-0.0576,6879245,51201884,821476,0.1344,11962670,39239214,3.280,,0,1,1
BCM,2018,0,0.0495,0.1652,-0.0558,6495404,45183740,2235754,0.1438,13530592,31653148,2.339,2398,0,1,1
BCM,2019,0,0.0572,0.1579,0.2645,8213443,43515596,2486921,0.1887,15750121,27765476,1.763,1776,0,1,1
BCM,2020,1,0.0410,0.1155,-0.2080,6504738,48485332,1985550,0.1342,17187472,31297860,1.821,1672,0,1,1
BCM,2021,1,0.0287,0.0819,0.0746,6989749,48952441,1404559,0.1428,17144921,31807520,1.855,1681,0,1,1
BCM,2022,0,0.0349,0.0939,-0.0692,6506378,48289575,1685043,0.1347,17945128,30344448,1.691,1899,0,1,1
BCM,2023,0,0.0454,0.1244,0.2115,7882566,53423902,2423169,0.1475,19472891,33951011,1.744,1997,0,1,1
BCM,2024,0,0.0372,0.1058,-0.3353,5239237,58780758,2187091,0.0891,20679200,38101557,1.843,2020,0,1,1
BCM,2025,0,0.0574,0.1498,0.3271,6953015,60941012,3500888,0.1141,23371675,37569337,1.607,1727,0,1,1
CEO,2014,0,,,,448924,,,,,,,321,0,2,1
CEO,2015,0,0.0532,0.1269,0.4243,639404,2621012,139432,0.2440,1099046,1521967,1.385,678,0,2,1
CEO,2016,0,0.0409,0.1002,1.2059,1410434,3834549,156983,0.3678,1566577,2267972,1.448,937,0,2,1
CEO,2017,0,0.0314,0.0794,0.2995,1832799,5652286,177650,0.3243,2238283,3414003,1.525,1380,0,2,1
CEO,2018,0,0.0265,0.0903,0.2256,2246238,8422490,223232,0.2667,2471279,5951211,2.408,1988,0,2,1
CEO,2019,0,0.0557,0.1222,1.0256,4550055,8037362,447910,0.5661,3665754,4371607,1.193,2120,0,2,1
CEO,2020,1,-0.0090,-0.0194,-0.7091,1323835,7438270,-67165,0.1780,3456345,3981925,1.152,2030,0,2,1
CEO,2021,1,0.0132,0.0264,-0.3188,901811,7050052,93150,0.1279,3534352,3515699,0.995,1108,0,2,1
CEO,2022,0,0.0395,0.0750,1.8265,2548999,7060487,278907,0.3610,3719155,3341333,0.898,1135,0,2,1
CEO,2023,0,0.0160,0.0241,-0.4533,1393473,9424848,150764,0.1479,6246056,3178792,0.509,1304,0,2,1
CEO,2024,0,0.0212,0.0301,-0.0614,1307936,8957583,190154,0.1460,6312301,2645282,0.419,1352,0,2,1
CEO,2025,0,0.0203,0.0275,0.0235,1338663,8730058,177282,0.1533,6441658,2288400,0.355,1293,0,2,1
DIG,2014,0,,,,691031,,,,,,,200,0,0,1
DIG,2015,0,0.0021,0.0039,-0.0518,655225,5089310,10461,0.1287,2656336,2432973,0.916,219,0,0,1
DIG,2016,0,0.0099,0.0209,0.7581,1151929,5875806,58446,0.1960,2798061,3077745,1.100,232,0,0,1
DIG,2017,0,0.0323,0.0679,0.3835,1593711,6083230,196235,0.2620,2890561,3192669,1.105,259,0,0,1
DIG,2018,0,0.0474,0.1006,0.4714,2345008,6832108,323992,0.3432,3219360,3612748,1.122,279,0,0,1
DIG,2019,0,0.0477,0.0975,-0.0978,2115744,8197229,390990,0.2581,4009446,4187782,1.044,267,0,0,1
DIG,2020,1,0.0601,0.1485,0.1756,2487174,11826163,711238,0.2103,4790129,7036034,1.469,238,0,0,1
DIG,2021,1,0.0585,0.1285,0.0328,2568689,16846905,986154,0.1525,7671483,9175422,1.196,292,0,0,1
DIG,2022,0,0.0098,0.0185,-0.2616,1896689,14747796,144128,0.1286,7794735,6953061,0.892,301,0,0,1
DIG,2023,0,0.0071,0.0150,-0.4592,1025747,16827607,118727,0.0610,7893558,8934049,1.132,293,0,0,1
DIG,2024,0,0.0062,0.0142,0.2683,1300999,18539324,114536,0.0702,8041311,10498013,1.306,282,0,0,1
DIG,2025,0,0.0341,0.0645,2.6262,4717667,18959639,646459,0.2488,10025617,8934022,0.891,274,0,0,1
DTA,2014,0,,,,28061,,,,,,,50,1,0,0
DTA,2015,0,0.0003,0.0007,0.2791,35893,232178,76,0.1546,101697,130480,1.283,50,1,0,0
DTA,2016,0,0.0007,0.0013,-0.3555,23134,289391,196,0.0799,151894,137497,0.905,38,1,0,0
DTA,2017,0,0.0118,0.0241,-0.2348,17703,317754,3746,0.0557,155640,162114,1.042,41,1,0,0
DTA,2018,0,0.0104,0.0227,0.7463,30915,394914,4118,0.0783,181758,213156,1.173,41,1,0,0
DTA,2019,0,0.0136,0.0335,0.7164,53063,463893,6287,0.1144,187942,275951,1.468,44,1,0,0
DTA,2020,1,-0.0071,-0.0207,-0.1869,43147,535022,-3813,0.0806,183971,351050,1.908,43,1,0,0
DTA,2021,1,0.0149,0.0514,1.5225,108839,668843,9968,0.1627,193940,474904,2.449,40,1,0,0
DTA,2022,0,0.0108,0.0400,0.1890,129412,749012,8065,0.1728,201755,547257,2.712,40,1,0,0
DTA,2023,0,0.0019,0.0066,-0.2278,99936,708895,1333,0.1410,202886,506008,2.494,42,1,0,0
DTA,2024,0,0.0024,0.0073,0.4195,141862,634368,1498,0.2236,204351,430017,2.104,31,1,0,0
DTA,2025,0,0.0003,0.0010,-0.1927,114528,628123,198,0.1823,204512,423612,2.071,38,1,0,0
DXG,2014,0,,,,506181,,,,,,,1214,1,3,0
